id,province_id,name_th,name_en
1,1,พระนคร,Phra Nakhon
2,1,ดุสิต,Dusit
3,1,หนองจอก,Nong Chok
4,1,บางรัก,Bang Rak
5,1,บางเขน,Bang Khen
6,1,บางกะปิ,Bang Kapi
7,1,ปทุมวัน,Pathum Wan
8,1,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai
9,1,พระโขนง,Phra Khanong
10,1,มีนบุรี,Min Buri
11,1,ลาดกระบัง,Lat Krabang
12,1,ยานนาวา,Yannawa
13,1,สัมพันธวงศ์,Samphanthawong
14,1,พญาไท,Phaya Thai
15,1,ธนบุรี,Thon Buri
16,1,บางกอกใหญ่,Bangkok Yai
17,1,ห้วยขวาง,Huai Khwang
18,1,คลองสาน,Khlong San
19,1,ตลิ่งชัน,Taling Chan
20,1,บางกอกน้อย,Bangkok Noi
21,1,บางขุนเทียน,Bang Khun Thian
22,1,ภาษีเจริญ,Phasi Charoen
23,1,หนองแขม,Nong Khaem
24,1,ราษฎร์บูรณะ,Rat Burana
25,1,บางพลัด,Bang Phlat
26,1,ดินแดง,Din Daeng
27,1,บึงกุ่ม,Bung Kum
28,1,สาทร,Sa Thon
29,1,บางซื่อ,Bang Su
30,1,จตุจักร,Chatuchak
31,1,บางคอแหลม,Bang Kho Laem
32,1,ประเวศ,Prawet
33,1,คลองเตย,Khlong Toei
34,1,สวนหลวง,Suan Luang
35,1,จอมทอง,Chom Thong
36,1,ดอนเมือง,Don Mueang
37,1,ราชเทวี,Rat Thewi
38,1,ลาดพร้าว,Lat Phrao
39,1,วัฒนา,Watthana
40,1,บางแค,Bang Khae
41,1,หลักสี่,Lak Si
42,1,สายไหม,Sai Mai
43,1,คันนายาว,Khanna Yao
44,1,สะพานสูง,Saphan Sung
45,1,วังทองหลาง,Wang Thong Lang
46,1,คลองสามวา,Khlong Sam Wa
47,1,บางนา,Bang Na
48,1,ทวีวัฒนา,Thawi Watthana
49,1,ทุ่งครุ,Thung Khu
50,1,บางบอน,Bang Bon
51,2,เมืองสมุทรปราการ,Mueang Samut Prakan
52,2,บางบ่อ,Bang Bo
53,2,บางพลี,Bang Phli
54,2,พระประแดง,Phra Pradaeng
55,2,พระสมุทรเจดีย์,Phra Samut Chedi
56,2,บางเสาธง,Bang Sao Thong
57,3,เมืองนนทบุรี,Mueang Nonthaburi
58,3,บางกรวย,Bang Kruai
59,3,บางใหญ่,Bang Yai
60,3,บางบัวทอง,Bang Bua Thong
61,3,ไทรน้อย,Sai Noi
62,3,ปากเกร็ด,Pak Kret
63,4,เมืองปทุมธานี,Mueang Pathum Thani
64,4,คลองหลวง,khlong Luang
65,4,ธัญบุรี,Thanyaburi
66,4,หนองเสือ,Nong Suea
67,4,ลาดหลุมแก้ว,Lat Lum Kaeo
68,4,ลำลูกกา,Lam Luk Ka
69,4,สามโคก,Sam Khok
70,5,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
71,5,ท่าเรือ,Tha Ruea
72,5,นครหลวง,Nakhon Luang
73,5,บางไทร,Bang Sai
74,5,บางบาล,Bang Ban
75,5,บางปะอิน,Bang Pa-in
76,5,บางปะหัน,Bang Pahan
77,5,ผักไห่,Phak Hai
78,5,ภาชี,Phachi
