id,district_id,name_th,name_en,zipcode
1,1,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,10200
2,1,วังบูรพาภิรมย์,Wang Burapha Phirom,10200
3,1,วัดราชบพิธ,Wat Ratchabophit,10200
4,1,สำราญราษฎร์,Samran Rat,10200
5,1,ศาลเจ้าพ่อเสือ,San Chaopho Suea,10200
6,1,เสาชิงช้า,Sao Chingcha,10200
7,1,บวรนิเวศ,Bowon Niwet,10200
8,1,ตลาดยอด,Talat Yot,10200
9,1,ชนะสงคราม,Chana Songkhram,10200
10,1,บ้านพานถม,Ban Phan Thom,10200
11,1,บางขุนพรหม,Bang Khun Phrom,10200
12,1,วัดสามพระยา,Wat Sam Phraya,10200
13,2,ดุสิต,Dusit,10300
14,2,วชิรพยาบาล,Wachira Phayaban,10300
15,2,สวนจิตรลดา,Suan Chit Lada,10300
16,2,สี่แยกมหานาค,Si Yaek Maha Nak,10300
17,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,10300
18,3,กระทุ่มราย,Krathum Rai,10530
19,3,หนองจอก,Nong Chok,10530
20,3,คลองสิบ,Khlong Sip,10530
21,3,คลองสิบสอง,Khlong Sip Song,10530
22,3,โคกแฝด,Khok Faet,10530
23,3,คู้ฝั่งเหนือ,Khu Fang Nuea,10530
24,3,ลำผักชี,Lam Phak Chi,10530
25,3,ลำต้อยติ่ง,Lam Toiting,10530
26,4,มหาพฤฒาราม,Maha Phruettharam,10500
27,4,สีลม,Si Lom,10500
28,4,สุริยวงศ์,Suriyawong,10500
29,4,บางรัก,Bang Rak,10500
30,4,สี่พระยา,Si Phraya,10500
31,5,อนุสาวรีย์,Anusawari,10220
32,5,ท่าแร้ง,Tha Raeng,10220
33,6,คลองจั่น,Khlong Chan,10240
34,6,หัวหมาก,Hua Mak,10240
35,7,รองเมือง,Rong Mueang,10330
36,7,วังใหม่,Wang Mai,10330
37,7,ปทุมวัน,Pathum Wan,10330
38,7,ลุมพินี,Lumphini,10330
39,8,ป้อมปราบ,Pom Prap,10100
40,8,วัดเทพศิรินทร์,Wat Thep Sirin,10100
41,8,คลองมหานาค,Khlong Maha Nak,10100
42,8,บ้านบาตร,Ban Bat,10100
43,8,วัดโสมนัส,Wat Sommanat,10100
44,9,บางจาก,Bang Chak,10260
45,10,มีนบุรี,Min Buri,10510
46,10,แสนแสบ,Saen Saep,10510
47,11,ลาดกระบัง,Lat Krabang,10520
48,11,คลองสองต้นนุ่น,Khlong Song Ton Nun,10520
49,11,คลองสามประเวศ,Khlong Sam Prawet,10520
50,11,ลำปลาทิว,Lam Pla Thio,10520
51,11,ทับยาว,Thap Yao,10520
52,11,ขุมทอง,Khum Thong,10520
53,12,ช่องนนทรี,Chong Nonsi,10120
54,12,บางโพงพาง,Bang Phongphang,10120
55,13,จักรวรรดิ,Chakkrawat,10100
